,ID,worst_perf_1,worst_perf_3,worst_perf_6,worst_perf_12,worst_perf_gen
0,5001711,0,0,0,0,0
1,5001712,-1,-1,-1,0,0
2,5001717,-1,-1,0,0,0
3,5001718,-1,0,0,1,1
4,5001719,-1,-1,-1,-1,0
5,5001720,0,1,1,1,1
6,5001723,0,0,0,0,0
7,5001724,-1,-1,-1,-1,-1
8,5001725,0,0,0,0,0
9,5001726,-1,-1,-1,-1,0
10,5001729,0,0,0,0,0
11,5001730,-1,-1,-1,-1,0
12,5001734,0,0,0,0,0
13,5001735,-1,-1,-1,-1,0
14,5001736,-1,-1,-1,-1,0
15,5001737,-1,-1,-1,0,0
16,5001738,-1,-1,-1,-1,0
17,5001739,-1,-1,-1,-1,0
18,5001742,-1,-1,-1,-1,0
19,5001743,-1,-1,-1,-1,0
20,5001744,-1,-1,-1,-1,0
21,5001745,0,0,0,0,0
22,5001746,0,0,0,0,0
23,5001747,-1,-1,-1,0,0
24,5001748,-1,-1,-1,-1,0
25,5001754,0,0,0,0,0
26,5001755,-1,-1,0,0,0
27,5001756,-1,-1,-1,-1,0
28,5001757,0,1,1,1,1
29,5001758,0,0,0,0,0
30,5001759,-1,-1,0,0,0
31,5001760,-1,-1,-1,-1,0
32,5001765,-1,-1,-1,-1,0
33,5001766,-1,-1,-1,-1,0
34,5001767,0,0,0,0,0
35,5001768,0,0,0,0,0
36,5001769,0,0,0,0,0
37,5001770,0,0,0,0,0
38,5001771,0,0,0,0,0
39,5001772,0,0,0,0,0
40,5001773,-1,-1,-1,0,0
41,5001774,-1,-1,-1,-1,0
42,5001775,-1,-1,-1,-1,0
43,5001782,0,0,0,0,0
44,5001783,0,0,0,0,0
45,5001784,0,0,0,0,0
46,5001785,0,0,0,0,0
47,5001786,-1,-1,-1,-1,1
48,5001789,-1,-1,-1,-1,-1
49,5001790,-1,-1,-1,0,0
50,5001791,0,0,0,0,0
51,5001792,0,1,1,1,1
52,5001793,1,1,1,1,1
53,5001794,-1,-1,-1,-1,0
54,5001798,-1,-1,-1,-1,0
55,5001800,0,0,0,0,0
56,5001804,-1,-1,0,0,0
57,5001805,-1,-1,-1,-1,0
58,5001806,-1,-1,-1,-1,0
59,5001807,-1,-1,-1,-1,0
60,5001808,-1,-1,-1,-1,0
61,5001812,0,0,0,0,0
62,5001816,0,0,0,0,0
63,5001817,1,1,1,1,1
64,5001818,-1,-1,-1,-1,0
65,5001820,-1,-1,-1,0,0
66,5001821,0,0,0,0,0
67,5001823,0,0,0,0,0
68,5001824,0,0,0,0,0
69,5001825,0,0,0,0,0
70,5001828,0,0,0,0,0
71,5001829,0,0,0,0,0
72,5001830,-1,-1,-1,0,0
73,5001831,0,0,0,0,0
74,5001832,-1,-1,-1,-1,0
75,5001833,-1,-1,-1,-1,0
76,5001836,1,1,1,1,1
77,5001837,-1,-1,-1,-1,0
78,5001838,0,0,0,0,0
79,5001839,-1,-1,-1,0,0
80,5001840,-1,-1,0,0,0
81,5001841,-1,-1,-1,-1,0
82,5001842,0,0,0,0,0
83,5001843,-1,-1,-1,-1,0
84,5001844,-1,-1,-1,-1,1
85,5001846,0,0,0,0,0
86,5001847,0,0,0,0,0
87,5001848,0,0,0,1,1
88,5001849,-1,0,0,0,0
89,5001850,0,0,0,0,0
90,5001851,-1,-1,-1,0,0
91,5001852,-1,-1,-1,-1,0
92,5001853,-1,-1,-1,0,0
93,5001854,-1,-1,-1,-1,0
94,5001855,-1,-1,-1,-1,0
95,5001856,-1,-1,-1,-1,1
96,5001857,0,0,0,0,0
97,5001858,-1,-1,-1,-1,0
98,5001859,-1,-1,-1,-1,0
99,5001867,-1,-1,-1,0,0
100,5001873,0,0,0,0,0
101,5001874,0,0,0,0,0
102,5001876,0,0,0,0,0
103,5001877,0,0,0,0,0
104,5001882,-1,-1,0,0,0
105,5001883,-1,-1,-1,-1,0
106,5001886,0,0,0,0,0
107,5001887,0,0,0,0,0
108,5001888,0,0,0,0,1
109,5001889,0,0,0,0,0
110,5001890,-1,-1,-1,-1,0
111,5001891,-1,-1,-1,-1,0
112,5001892,-1,-1,-1,-1,-1
113,5001893,0,0,0,0,0
114,5001894,0,0,0,0,0
115,5001895,-1,-1,-1,-1,0
116,5001896,-1,-1,-1,1,1
117,5001897,0,0,0,0,0
118,5001898,-1,-1,0,0,0
119,5001899,0,0,0,0,0
120,5001900,-1,-1,-1,-1,0
121,5001901,-1,-1,-1,-1,0
122,5001902,0,0,0,0,0
123,5001904,0,0,0,0,0
124,5001905,-1,-1,-1,-1,0
125,5001906,-1,-1,-1,-1,0
126,5001907,0,0,0,0,0
127,5001910,-1,0,0,0,0
128,5001911,-1,-1,0,0,0
129,5001912,-1,-1,-1,-1,-1
130,5001913,-1,-1,-1,-1,-1
131,5001914,-1,-1,-1,0,0
132,5001915,0,0,0,0,0
133,5001916,0,0,0,0,0
134,5001917,0,0,0,0,0
135,5001918,-1,-1,1,1,1
136,5001919,-1,-1,-1,-1,0
137,5001920,0,0,0,0,0
138,5001921,-1,-1,-1,0,0
139,5001922,-1,-1,-1,-1,1
140,5001923,-1,-1,-1,-1,1
141,5001925,0,0,0,0,0
142,5001926,0,1,1,1,1
143,5001927,0,1,1,1,1
144,5001931,0,0,0,0,0
145,5001932,0,0,0,0,0
146,5001933,-1,-1,-1,-1,1
147,5001936,-1,-1,-1,-1,0
148,5001940,-1,-1,-1,0,0
149,5001941,-1,-1,-1,-1,0
150,5001942,-1,-1,-1,-1,0
151,5001943,-1,-1,-1,-1,0
152,5001944,0,0,0,0,0
153,5001945,0,0,0,0,0
154,5001946,0,0,0,0,0
155,5001947,-1,-1,-1,-1,0
156,5001948,0,0,0,0,0
157,5001951,-1,0,0,0,0
158,5001952,-1,-1,-1,0,0
159,5001953,-1,-1,-1,0,0
160,5001954,-1,-1,-1,-1,0
161,5001956,-1,-1,0,0,0
162,5001957,0,0,0,0,0
163,5001958,-1,-1,-1,-1,0
164,5001959,1,1,1,1,1
165,5001960,0,0,0,0,0
166,5001961,0,0,0,0,0
167,5001962,0,0,0,0,0
168,5001963,0,0,0,0,0
169,5001964,0,0,0,0,0
170,5001965,-1,-1,-1,-1,0
171,5001966,-1,-1,-1,-1,0
172,5001967,-1,-1,-1,-1,0
173,5001968,-1,-1,-1,0,0
174,5001970,0,0,0,0,0
175,5001982,0,0,0,0,0
176,5001983,0,0,0,0,0
177,5001986,-1,-1,-1,-1,0
178,5001987,-1,-1,-1,-1,0
179,5001988,-1,-1,0,0,1
180,5001989,0,0,0,0,0
181,5001990,-1,-1,-1,-1,0
182,5001991,-1,-1,-1,-1,0
183,5001998,0,0,0,0,0
184,5001999,-1,-1,-1,-1,0
185,5002000,-1,-1,-1,0,0
186,5002001,-1,-1,-1,-1,0
187,5002002,0,0,0,0,0
188,5002003,-1,-1,-1,-1,0
189,5002004,-1,-1,-1,-1,0
190,5002005,-1,-1,-1,-1,0
191,5002006,-1,-1,-1,-1,0
192,5002007,-1,-1,-1,-1,0
193,5002008,-1,-1,-1,-1,0
194,5002009,-1,-1,-1,-1,0
195,5002010,-1,0,0,0,0
196,5002011,0,0,0,0,0
197,5002012,-1,-1,-1,-1,0
198,5002013,-1,-1,-1,-1,0
199,5002015,0,0,0,0,0
200,5002016,-1,-1,-1,0,0
201,5002019,-1,-1,-1,-1,0
202,5002021,-1,-1,-1,0,0
203,5002022,-1,-1,-1,-1,0
204,5002023,0,0,0,0,0
205,5002024,0,0,0,0,0
206,5002025,-1,-1,-1,0,0
207,5002026,0,0,0,0,0
208,5002028,-1,-1,-1,-1,0
209,5002029,0,0,0,0,0
210,5002030,0,0,0,0,0
211,5002031,-1,-1,-1,-1,0
212,5002037,0,0,0,0,0
213,5002038,0,0,0,0,0
214,5002039,0,0,0,0,0
215,5002041,-1,-1,-1,-1,0
216,5002042,-1,-1,-1,-1,1
217,5002043,0,0,0,0,0
218,5002044,0,0,0,1,1
219,5002047,-1,-1,-1,-1,0
220,5002048,-1,-1,-1,-1,0
221,5002049,-1,-1,-1,-1,0
222,5002050,0,0,0,0,0
223,5002057,-1,-1,-1,-1,0
224,5002058,-1,-1,-1,-1,0
225,5002059,0,0,0,0,0
226,5002060,-1,-1,-1,-1,0
227,5002061,0,0,0,0,1
228,5002062,0,0,0,0,0
229,5002068,-1,-1,-1,-1,0
230,5002069,-1,-1,-1,-1,0
231,5002070,0,0,0,0,0
232,5002071,0,0,0,0,0
233,5002072,-1,-1,-1,0,0
234,5002073,-1,-1,-1,-1,0
235,5002077,0,0,0,0,0
236,5002078,0,0,0,0,0
237,5002079,0,0,0,0,0
238,5002080,0,0,0,0,0
239,5002081,0,0,0,0,0
240,5002082,0,0,0,0,0
241,5002083,-1,-1,-1,-1,0
242,5002084,0,0,0,0,0
243,5002085,-1,-1,-1,0,1
244,5002087,-1,-1,-1,-1,0
245,5002088,-1,-1,-1,-1,0
246,5002091,-1,-1,-1,-1,1
247,5002094,0,0,0,0,0
248,5002096,-1,-1,-1,-1,-1
249,5002097,-1,-1,-1,-1,0
250,5002098,0,0,0,0,0
